"address","snapshot_amount","current_amount","balance_changed","snapshot_block","snapshot_transaction"
"0x138f9fec02a0ce89338246e70ba5c42081701865","0","0",FALSE,"18403960","0x0e6d57580a8cf8facc72eed426e7d13dcb874f31652008cd944dadb1cf19543c"
"0x11faf40ffc2f2a60d22d5431ace9d9d61612d22d","232517482052100000000","0",TRUE,"18418597","0xd5270511aea5f412b751670b958a7d5f745299b4ed1e07248c110b0e7a8f8910"
"0x0f638c2cc65d72c1aecd056d1fda2918126fbdfe","36366470886100000000","36366470886100000000",FALSE,"18405689","0xe588d519e6f66aab552915641bca5b754e70481c2eca640650e5d6743a6714db"
"0x0ef696b2da7e7c6a3113681ce57344b66bbcf559","0","0",FALSE,"18410799","0x2ed99a576e7e3b87047895f50cc8847e586b56e583cd7a31a2c4bb3627e251f8"
"0x0c3de458b51a11da7d4616f42f66c861e3859d3e","0","0",FALSE,"18426739","0xd58def194931b4252224611827c74454402bfe3072c562e9f5c84acae0dc52de"
"0x0f3c91dd4f416ab4d555da56bf83570cdcf796ac","59400947397100000000","59400947397100000000",FALSE,"18420243","0x33182905949d95864d04924060926960d6cec96bd633e2c1c263e875f5cf253c"
"0x0ef27f6ee5290b4d38868bc3efd9aa09662c6d25","0","0",FALSE,"18396868","0x776f17c39cdce0ae6bb446a54f67735c261bfc2e32745c0263f264951e97c8f4"
"0x07a9e564a3e683cc7cde6afec8de27a06e2cac76","0","0",FALSE,"18377746","0xfb369cc325cab92ecd055c3bad78259f1ffc76e5406e9a88a922ca455e72e9b1"
"0x190cb8ac64c5ff16419ae7101b49803b4f16f239","0","0",FALSE,"18395818","0x559b948eb60f11efd7c0540d816cc727fbb2b0514060d8294194e120c433952e"
"0x0e24d281364bbf1ee6d98d93d744ded873117efe","0","0",FALSE,"18398349","0xac202ed340cecc21a2df78537c37f8bcff54132fa0992f1f50acd020bf9cc8af"
"0x1c634acbee26f6d0c5182e256e4cfa5710f5be51","0","0",FALSE,"18377671","0x925562e14f24fbc7a1a14b65470b4d1e625ffc5cc84f21d23ac9c9e95513120a"
"0x10fa4bf4d2f352153b8ffc6743b858c8fa81e88e","0","0",FALSE,"18406983","0x76ca124122aa1a6e13d08e728feb9eba3acf97343ddd0de53edb00ca16cabcca"
"0x129447ec7224bf35d172097aaeaabb31fbf3ff20","0","0",FALSE,"18377645","0x3ff88273a78b6b56c4f234a3c3a7148507e5de49f1220410ecc0c2e4ddb5ee7a"
"0x15aef876f022053f28eb0551378934c798a4fa82","0","0",FALSE,"18426436","0xc518e8bc6f512495edcb7e350101d246cab872af73b4afc2019b95a980086831"
"0x102bd9fa76dcf57cf1b599ce5b9c378b25cb0d63","0","0",FALSE,"18424544","0x16fd2547a120c0b885d76c94a82141d2c788af8579db2aad3f0687298e34619c"
"0x20ebac3a9c15da063d42b10063ce7096c64c90b1","0","0",FALSE,"18410891","0x9b678b8455503fd4595c543273ef3bd48e098cc4494927eb78a813df8169ed02"
"0x19fcb6befa2aa843aad9e3049218f4457fad49fe","0","0",FALSE,"18424727","0xbb672af8aab852f4929db56d4d07fc2a7acd0a70be88e9a37dd3e8893e297325"
"0x0605b7f36924eb61b0d23d828ce325219c4159a7","0","0",FALSE,"18404351","0xec8752e6914ae41fa88a1d3c41a81c0cdefd02189c96589f98a8eab7b490243f"
"0x23ba19d94fd1f9bab95823cda2169d3d6e3c2086","0","0",FALSE,"18403621","0xb1f8465aeca2df731e40c45e470a458c887b9b96640cc68c81b0848916a22d82"
